Name                                                                             Stmts   Miss  Cover
/home/bhav/.local/lib/python2.7/site-packages/jinja2/loaders.py                    223    170    24%
/home/bhav/.local/lib/python2.7/site-packages/jinja2/nodes.py                      453    241    47%
/home/bhav/.local/lib/python2.7/site-packages/jinja2/optimizer.py                   17      8    53%
/home/bhav/.local/lib/python2.7/site-packages/jinja2/parser.py                     644    585     9%
/home/bhav/.local/lib/python2.7/site-packages/jinja2/runtime.py                    417    291    30%
/home/bhav/.local/lib/python2.7/site-packages/jinja2/tests.py                       52     25    52%
/home/bhav/.local/lib/python2.7/site-packages/jinja2/utils.py                      310    206    34%
/home/bhav/.local/lib/python2.7/site-packages/jinja2/visitor.py                     40     31    23%
/home/bhav/.local/lib/python2.7/site-packages/markupsafe/__init__.py               164     93    43%
/home/bhav/.local/lib/python2.7/site-packages/markupsafe/_compat.py                 18      8    56%
/home/bhav/.local/lib/python2.7/site-packages/passlib/__init__.py                    1      0   100%
/home/bhav/.local/lib/python2.7/site-packages/passlib/exc.py                        79     42    47%
/home/bhav/.local/lib/python2.7/site-packages/passlib/handlers/__init__.py           0      0   100%
/home/bhav/.local/lib/python2.7/site-packages/passlib/handlers/sha2_crypt.py       149     99    34%
/home/bhav/.local/lib/python2.7/site-packages/passlib/hash.py                       27     23    15%
/home/bhav/.local/lib/python2.7/site-packages/passlib/ifc.py                        46      7    85%
/home/bhav/.local/lib/python2.7/site-packages/passlib/registry.py                  160     85    47%
/home/bhav/.local/lib/python2.7/site-packages/passlib/utils/__init__.py            404    293    27%
/home/bhav/.local/lib/python2.7/site-packages/passlib/utils/binary.py              363    276    24%
/home/bhav/.local/lib/python2.7/site-packages/passlib/utils/compat/__init__.py     202    115    43%
/home/bhav/.local/lib/python2.7/site-packages/passlib/utils/decor.py               105     31    70%
/home/bhav/.local/lib/python2.7/site-packages/passlib/utils/handlers.py            940    717    24%
/home/bhav/.local/lib/python2.7/site-packages/pytz/__init__.py                     189     95    50%
/home/bhav/.local/lib/python2.7/site-packages/pytz/exceptions.py                     6      0   100%
/home/bhav/.local/lib/python2.7/site-packages/pytz/lazy.py                         100     39    61%
/home/bhav/.local/lib/python2.7/site-packages/pytz/tzfile.py                        77     17    78%
/home/bhav/.local/lib/python2.7/site-packages/pytz/tzinfo.py                       178    104    42%
/home/bhav/.local/lib/python2.7/site-packages/werkzeug/__init__.py                  29      4    86%
/home/bhav/.local/lib/python2.7/site-packages/werkzeug/_compat.py                  148     89    40%
/home/bhav/.local/lib/python2.7/site-packages/werkzeug/_internal.py                238    180    24%
/home/bhav/.local/lib/python2.7/site-packages/werkzeug/_reloader.py                183    126    31%
/home/bhav/.local/lib/python2.7/site-packages/werkzeug/datastructures.py          1331    908    32%
